Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
 69       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 70       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 71       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 72       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 73       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 74       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 75       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 76       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 77       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 78       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 79       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 80       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 81       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 82       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 83       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 84       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 85       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 86       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 87       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 88       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 89       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 90       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 91       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 92       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 93       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 94       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 95       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 96       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 97       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 98       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 99       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
100       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
101       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
102       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
103       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
104       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
105       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
106       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
107       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
108       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
109       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
110       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
111       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
112       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
113       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
114       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
115       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
116       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
117       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
118       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
119       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
120       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
121       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
122       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
123       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
124       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
125       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
126       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
127       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
128       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
129       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
130       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
131       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
132       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
133       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
134       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
135       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
136       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
137       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
138       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
139       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
140       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
141       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
142       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
143       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
144       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
145       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
146       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
147       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
148       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
149       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
150       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
151       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
152       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
153       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
154       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
155       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
156       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
157       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
158       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
159       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
160       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
161       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
162       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
163       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
164       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
165       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
166       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
167       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
168       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
169       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
170       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
171       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
172       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
173       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
174       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
175       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
176       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
177       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
178       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
179       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
180       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
181       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
182       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
183       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
184       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
185       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
186       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
187       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
188       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
189       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
190       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
191       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
192       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
193       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
194       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
195       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
196       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
197       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
198       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
199       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
200       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
201       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
202       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
203       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
204       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
205       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
206       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
207       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
208       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
209       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
210       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
211       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
212       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
213       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
214       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
215       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
216       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
217       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
218       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
219       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
220       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
221       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
222       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
223       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
224       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
225       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
226       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
227       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
228       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
229       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
230       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
231       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
232       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
233       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
234       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
235       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
236       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
237       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
238       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
239       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
240       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
241       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
242       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
243       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
244       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
245       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
246       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
247       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
248       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
249       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
250       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
251       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
252       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
253       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
254       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
255       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
256       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
257       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
258       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
259       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
260       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
261       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
262       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
263       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
264       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
265       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
266       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
267       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
268       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
269       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
270       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
271       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
272       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
273       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
274       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
275       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
276       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
277       1( 20.0)        4( 80.0)       0       0       0       0       0       0       0
278       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
279       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
280       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
281       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
282       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
283       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
284       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
285       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
286       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
287       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
288       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
289       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
290       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
291       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
292       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
293       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
294       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
295       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
296       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
297       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
298       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
299       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
300       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
301       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
302       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
303       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
304       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
305       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
306       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
307       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
308       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
309       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
310       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
311       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
312       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
313       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
314       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
315       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
316       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
317       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
318       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
319       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
320       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
321       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
322       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
323       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
324       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
325       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
326       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
327       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
328       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
329       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
330       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
331       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
332       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
333       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
334       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
335       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
336       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
337       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
338       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
339       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
340       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
341       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
342       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
343       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
344       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
345       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
346       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
347       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
348       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
349       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
350       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
351       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
352       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
353       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
354       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
355       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
356       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
357       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
358       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
359       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
360       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
361       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
362       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
363       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
364       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
365       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
366       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
367       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
368       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
369       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
370       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
371       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
372       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
373       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
374       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
375       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
376       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
377       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
378       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
379       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
380       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
381       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
382       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
383       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
384       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
385       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
386       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
387       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
388       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
389       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
390       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
391       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
392       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
393       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
394       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
395       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
396       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
397       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
398       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
399       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
400       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
401       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
402       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
403       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
404       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
405       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
406       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
407       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
408       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
409       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
410       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
411       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
412       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
413       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
414       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
415       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
416       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
417       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
418       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
419       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
420       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
421       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
422       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
423       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
424       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
425       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
426       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
427       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
428       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
429       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
430       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
431       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
432       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
433       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
434       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
435       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
436       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
437       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
438       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
439       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
440       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
441       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
442       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
443       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
444       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
445       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
